Group;odv_oh1;pi_calc;odv_oh1;sleep;total
1;23461;8157531;29422;2013445;10223860
2;23576;8159740;29815;1998890;10212021
3;19941;8180967;36361;2198612;10435881
4;27096;8136305;22876;1813723;10000000
5;28378;8012087;32725;1926811;10000000
6;18660;8305185;26513;2085524;10435881
