scenario;deployment;kernel;load;odv_oh1;camio;diskio;pi_calc;odv_oh2;sleep;total;max_odv_oh1;max_camio;max_diskio;max_pi_calc;max_odv_oh2;max_sleep;max_total
1;native;generic;noload;0.275;0;0;80.117;0.475;19.132;100.000;106133.4;0;0;8048935.8;147654.2;1976812.6;10058921
2;native;rt;noload;0.291;0;0;80.126;0.182;19.400;100.000;93498.6;0;0;8072400;193252.2;1996922.2;10050902.6
3;native;generic;cpuload;0.121;0;0;83.476;0.263;23.827;107.687;107298.8;0;0;58941960.2;47114267.2;53876313.6;61944514.8
4;native;rt;cpuload;0.249;0;0;82.746;0.339;16.666;100.000;650632.4;0;0;85291715.6;14997276;321295553;359582936.8
5;docker;generic;noload;0.279;0;0;80.118;0.476;19.126;100.000;107051.8;0;0;8049489.6;170559;1986701.4;10048871.4
6;docker;rt;noload;0.292;0;0;80.125;0.184;19.399;100.000;96466;0;0;8060265;204640.4;2001141.2;10045860.4
7;docker;generic;cpuload;0.122;0;0;83.522;0.263;24.344;108.252;115940.2;0;0;59348729.4;47517270.6;54394438;62451781.6
8;docker;rt;cpuload;0.253;0;0;82.688;0.294;16.765;100.000;9309885.6;0;0;52085978.4;8498572.4;240394733.8;248491633.6
