Group;odv_oh1;pi_calc;odv_oh2;sleep;total
1;16296;2425112;54039;1966256;3042014
2;25156;2424657;38275;1944629;3025734
3;8057;2736986;51781;2160648;3400376
4;28423;2065925;40164;1704518;2598352
5;1032;580;16701;15999;3536
6;29156;3423037;63931;2763150;4279483
