;scenario;N;total;sd;se;ci
1;1;5;0.999997;0.000000000;0.000000000;0.00000000
2;2;5;0.999997;0.000000000;0.000000000;0.00000000
3;3;5;1.076872;0.015847658;0.007087288;0.01967747
4;4;5;0.999997;0.000000000;0.000000000;0.00000000
5;5;5;0.999997;0.000000000;0.000000000;0.00000000
6;6;5;0.999997;0.000000000;0.000000000;0.00000000
7;7;5;1.082520;0.008833867;0.003950625;0.01096869
8;8;5;0.999997;0.000000000;0.000000000;0.00000000
