scenario;sleep;odv_oh2;pi_calc;odv_oh1;total
1;0.255345442;0.00245066;0.83477406;0.001208268;1.09377843
2;0.169697049;0.002767499;0.824999406;0.00253327;0.999997224
3;0.239749869;0.002652499;0.835204548;0.001224889;1.078831804
4;0.168338819;0.002762998;0.826365825;0.002529583;0.999997225
